"index","expert_label","video_url","video_title","video_description","video_duration","fragment"
"9","birthday","https://www.youtube.com/watch?v=I5gX9ek2mgc","Dec 3: Epic Birthday Suprise and Sneaky Girls","Happy Birthday Suprise Taylor!!!!!","55.0","0"
"10","birthday","https://www.youtube.com/watch?v=MLekCL-X5iQ","KOBE&#39;s 1st birthday","","33.0","0"
"11","birthday","https://www.youtube.com/watch?v=N7mIfx6OnzU","MVI_6539.AVI","Owain&#39;s 2 birthday","78.0","1"
"12","parade","https://www.youtube.com/watch?v=PKZKRyWJ8Nk","Snowboarding Bulldogs - Rose Parade 2010","Sorry about the focus, but you get the idea.","34.0","0"
"13","parade","https://www.youtube.com/watch?v=DdzXtrjaYPo","MVI 2246 RVES Costume parade pt.2 10-30-09","","62.0","1"
"14","parade","https://www.youtube.com/watch?v=DdzXtrjaYPo","MVI 2246 RVES Costume parade pt.2 10-30-09","","62.0","0"
"15","parade","https://www.youtube.com/watch?v=AcwtIEe_eoA","TDL Electrical Parade 3","","54.0","1"
"16","parade","https://www.youtube.com/watch?v=AcwtIEe_eoA","TDL Electrical Parade 3","","54.0","0"
"17","parade","https://www.youtube.com/watch?v=73F3x97Ahsc","Katelyn and I -- Downtown Christmas Parade","","23.0","0"
"18","parade","https://www.youtube.com/watch?v=cHA0-t1btT0","Mystic Krewe of PMK Feb. 10. 2010 Kindergarten","Country Day Kindergarten Mardi Gras Parade","51.0","1"
"19","parade","https://www.youtube.com/watch?v=cHA0-t1btT0","Mystic Krewe of PMK Feb. 10. 2010 Kindergarten","Country Day Kindergarten Mardi Gras Parade","51.0","0"
"20","parade","https://www.youtube.com/watch?v=je_K00tg36Y","Manlius Parade 4","Even more parade footage","27.0","0"
"21","parade","https://www.youtube.com/watch?v=m8UCFlCMDcc","Love parade Indonesia","Indonesia love parade rock`n roll, ciankit ciantik, menari","27.0","0"
"22","parade","https://www.youtube.com/watch?v=IXCef-OTMW8","Disney World - Parade","Beautiful parad at disney World. Amazing!","298.0","1"
"23","parade","https://www.youtube.com/watch?v=IXCef-OTMW8","Disney World - Parade","Beautiful parad at disney World. Amazing!","298.0","4"
"24","graduation","https://www.youtube.com/watch?v=hpgJXfycRk8","MVI 1642","Penn&#39;s brother celebrating graduation like Garnett","81.0","2"
"25","graduation","https://www.youtube.com/watch?v=KjHY3Q1EWZs","MVI 1521","Mari walkin down the aisle at graduation","30.0","0"
"26","graduation","https://www.youtube.com/watch?v=9a1FS0u58kg","VEMBA 1 Graduation Ceremony (Pre1)","","42.0","0"
"27","graduation","https://www.youtube.com/watch?v=fZ9fOnVSFag","Ahmed UNCC Graduation Dec 2009","","85.0","1"
"28","graduation","https://www.youtube.com/watch?v=fZ9fOnVSFag","Ahmed UNCC Graduation Dec 2009","","85.0","0"
"29","graduation","https://www.youtube.com/watch?v=fZ9fOnVSFag","Ahmed UNCC Graduation Dec 2009","","85.0","2"
"30","graduation","https://www.youtube.com/watch?v=dprI_WyqJxI","HPHS Graduation Speech 2","Hannah&#39;s Graduation Speech","156.0","0"
"31","graduation","https://www.youtube.com/watch?v=dprI_WyqJxI","HPHS Graduation Speech 2","Hannah&#39;s Graduation Speech","156.0","2"
"0","basketball","https://www.youtube.com/watch?v=m3I07Uikd28","Battle of the Birds 2010","Washington vr Lowell Pollard from Lowell Bombing a three Byron tipping in a missed layup Ugo bombing another threy ball","132.0","4"
"1","soccer","https://www.youtube.com/watch?v=csIVtJ8bd2c","MVI 1159","Abby playing soccer","197.0","5"
"2","birthday","https://www.youtube.com/watch?v=N7mIfx6OnzU","MVI_6539.AVI","Owain&#39;s 2 birthday","78.0","0"
"3","birthday","https://www.youtube.com/watch?v=N7mIfx6OnzU","MVI_6539.AVI","Owain&#39;s 2 birthday","78.0","2"
"4","birthday","https://www.youtube.com/watch?v=90CDfMF_Y4o","Happy 21st Birthday Mel!","Happy Birthday to the most wonderful person I know :)","70.0","1"
"5","birthday","https://www.youtube.com/watch?v=90CDfMF_Y4o","Happy 21st Birthday Mel!","Happy Birthday to the most wonderful person I know :)","70.0","0"
"6","birthday","https://www.youtube.com/watch?v=R2kRFSRY_hU","Mickey Mouse Clubhouse CD","Hot Dog, hot dog, hot diggity dog!","66.0","1"
"7","birthday","https://www.youtube.com/watch?v=R2kRFSRY_hU","Mickey Mouse Clubhouse CD","Hot Dog, hot dog, hot diggity dog!","66.0","0"
"8","birthday","https://www.youtube.com/watch?v=HWC-XhiLWX8","Birthday Glee","","67.0","1"
"9","birthday","https://www.youtube.com/watch?v=HWC-XhiLWX8","Birthday Glee","","67.0","0"
"10","birthday","https://www.youtube.com/watch?v=PTAbLfECOj4","Happy Birthday to EVERYONE!!!","","32.0","0"
"11","birthday","https://www.youtube.com/watch?v=Dw-xaKpNts8","Happy Birthday Jonah!!","A birthday wish!","21.0","0"
"12","parade","https://www.youtube.com/watch?v=IXCef-OTMW8","Disney World - Parade","Beautiful parad at disney World. Amazing!","298.0","7"
"13","parade","https://www.youtube.com/watch?v=dpR6Lm2buaw","MVI_0619.AVI","parade in kenner cont...","27.0","0"
"14","parade","https://www.youtube.com/watch?v=3fCwaK7tjGc","MVI 0013","Heritage High School Marching Band Frisco Parade 11/14/09","129.0","0"
"15","parade","https://www.youtube.com/watch?v=3fCwaK7tjGc","MVI 0013","Heritage High School Marching Band Frisco Parade 11/14/09","129.0","2"
"16","parade","https://www.youtube.com/watch?v=3fCwaK7tjGc","MVI 0013","Heritage High School Marching Band Frisco Parade 11/14/09","129.0","4"
"17","parade","https://www.youtube.com/watch?v=ECR2EpqNncE","MVI_1574-small.avi","Belmont Christmas parade 2009","137.0","0"
"18","parade","https://www.youtube.com/watch?v=ECR2EpqNncE","MVI_1574-small.avi","Belmont Christmas parade 2009","137.0","2"
"19","parade","https://www.youtube.com/watch?v=ECR2EpqNncE","MVI_1574-small.avi","Belmont Christmas parade 2009","137.0","4"
"20","parade","https://www.youtube.com/watch?v=k1HP0pg8rcM","Hong Kong Disneyland Parade","","199.0","1"
"21","parade","https://www.youtube.com/watch?v=k1HP0pg8rcM","Hong Kong Disneyland Parade","","199.0","3"
"22","parade","https://www.youtube.com/watch?v=k1HP0pg8rcM","Hong Kong Disneyland Parade","","199.0","5"
"23","parade","https://www.youtube.com/watch?v=CQ6zZpbaNRg","First Day of School in Guatemala","On the first day of school, all the girls were a part of the city wide parade.","43.0","0"
"24","graduation","https://www.youtube.com/watch?v=dprI_WyqJxI","HPHS Graduation Speech 2","Hannah&#39;s Graduation Speech","156.0","4"
"25","graduation","https://www.youtube.com/watch?v=GGsc1qGEYmA","Westminster Graduation 2009, MAR graduates","Westminster Graduation","423.0","3"
"26","graduation","https://www.youtube.com/watch?v=GGsc1qGEYmA","Westminster Graduation 2009, MAR graduates","Westminster Graduation","423.0","7"
"27","graduation","https://www.youtube.com/watch?v=GGsc1qGEYmA","Westminster Graduation 2009, MAR graduates","Westminster Graduation","423.0","11"
"28","graduation","https://www.youtube.com/watch?v=84WTcPx3xF0","Jaevin&#39;s Graduation Performance","you all think thats me but it not in my brother and its his graduation","61.0","1"
"29","graduation","https://www.youtube.com/watch?v=84WTcPx3xF0","Jaevin&#39;s Graduation Performance","you all think thats me but it not in my brother and its his graduation","61.0","0"
"30","graduation","https://www.youtube.com/watch?v=JlB6ahyGObk","JMU Graduation 2009","Anglican cathedral Graduation","82.0","1"
"31","graduation","https://www.youtube.com/watch?v=JlB6ahyGObk","JMU Graduation 2009","Anglican cathedral Graduation","82.0","0"
"0","basketball","https://www.youtube.com/watch?v=9OBgmCuK_V0","Youth Basketball Games","","245.0","0"
"1","soccer","https://www.youtube.com/watch?v=mjnL-lSDbp0","Ryan Park Soccer Day 2 - Sep 26, 2009","Ryan Park Playing Soccer in Livingston, NJ Kinder Soccer Program","98.0","0"
"2","birthday","https://www.youtube.com/watch?v=MEkv8QBVKoI","Annya&#39;s 4th Birthday Celebration_5","Girls sang happy birthday song to Annya","41.0","0"
"3","birthday","https://www.youtube.com/watch?v=B2XAonYISuA","Happy birthday to Yuko -- 60th","Birthday song, Yuko makes wish and blows out all 60 candles","211.0","0"
"4","birthday","https://www.youtube.com/watch?v=B2XAonYISuA","Happy birthday to Yuko -- 60th","Birthday song, Yuko makes wish and blows out all 60 candles","211.0","3"
"5","birthday","https://www.youtube.com/watch?v=B2XAonYISuA","Happy birthday to Yuko -- 60th","Birthday song, Yuko makes wish and blows out all 60 candles","211.0","6"
"6","birthday","https://www.youtube.com/watch?v=4bIY0W8motQ","MVI_happy birthday tierni.AVI","","24.0","0"
"7","birthday","https://www.youtube.com/watch?v=PcFc6NQZc0U","Birthday wake-up call!","Waking Kristo up on his 5th birthday!","72.0","1"
"8","birthday","https://www.youtube.com/watch?v=PcFc6NQZc0U","Birthday wake-up call!","Waking Kristo up on his 5th birthday!","72.0","0"
"9","birthday","https://www.youtube.com/watch?v=0ZMPyxlQTpU","MVI_5324.AVI","Happy Birthday, Claire!","25.0","0"
"10","birthday","https://www.youtube.com/watch?v=iALzMbRXNAU","Happy Birthday Tay Tay","Allison saying happy birthday to Taylor","72.0","1"
"11","birthday","https://www.youtube.com/watch?v=iALzMbRXNAU","Happy Birthday Tay Tay","Allison saying happy birthday to Taylor","72.0","0"
"12","parade","https://www.youtube.com/watch?v=akMvxVAI8XE","Hollywood Christmas Parade 2009 - Part 1","Hollywood Christmas Parade 2009","133.0","0"
"13","parade","https://www.youtube.com/watch?v=akMvxVAI8XE","Hollywood Christmas Parade 2009 - Part 1","Hollywood Christmas Parade 2009","133.0","2"
"14","parade","https://www.youtube.com/watch?v=akMvxVAI8XE","Hollywood Christmas Parade 2009 - Part 1","Hollywood Christmas Parade 2009","133.0","4"
"15","parade","https://www.youtube.com/watch?v=eSscGGcwsDE","SGI-USA Youth in 2010 MLK parade","","77.0","1"
"16","parade","https://www.youtube.com/watch?v=eSscGGcwsDE","SGI-USA Youth in 2010 MLK parade","","77.0","0"
"17","parade","https://www.youtube.com/watch?v=eSscGGcwsDE","SGI-USA Youth in 2010 MLK parade","","77.0","2"
"18","parade","https://www.youtube.com/watch?v=9sEvEEkgyX0","bacchus parade 2010 (w/drew breese)","","25.0","0"
"19","parade","https://www.youtube.com/watch?v=ja2OzBAgyrY","Sam on Parade","Sam dances along the parade route at Richard Hart&#39;s annual Mardi Gras parade in Duke Park, 2/21/09","25.0","0"
"20","parade","https://www.youtube.com/watch?v=cPgIfGmsexM","More Christmas Parade","","23.0","0"
"21","parade","https://www.youtube.com/watch?v=kjqBUhuLh9o","Guatemala Banda Musical Pedro Molina Rose Parade 2010","Soy De Zacapa Rose Parade","120.0","0"
"22","parade","https://www.youtube.com/watch?v=kjqBUhuLh9o","Guatemala Banda Musical Pedro Molina Rose Parade 2010","Soy De Zacapa Rose Parade","120.0","1"
"23","parade","https://www.youtube.com/watch?v=kjqBUhuLh9o","Guatemala Banda Musical Pedro Molina Rose Parade 2010","Soy De Zacapa Rose Parade","120.0","3"
"24","graduation","https://www.youtube.com/watch?v=JlB6ahyGObk","JMU Graduation 2009","Anglican cathedral Graduation","82.0","2"
"25","graduation","https://www.youtube.com/watch?v=hwt3u189UIo","Mum graduation","2-1 Art History, clever mummy","25.0","0"
"26","graduation","https://www.youtube.com/watch?v=FD3VLyQq9Ig","MVI 6149","The BCHS teen tones singing &quot;Remember Me&quot; for the 2009 GRADUATION","254.0","0"
"27","graduation","https://www.youtube.com/watch?v=FD3VLyQq9Ig","MVI 6149","The BCHS teen tones singing &quot;Remember Me&quot; for the 2009 GRADUATION","254.0","3"
"28","graduation","https://www.youtube.com/watch?v=FD3VLyQq9Ig","MVI 6149","The BCHS teen tones singing &quot;Remember Me&quot; for the 2009 GRADUATION","254.0","6"
"29","graduation","https://www.youtube.com/watch?v=nPY0mBq0cJE","Graduation 2009","EMBA Graduation Ceremony at THE PLAZA, 5AVE & 58 W, NEW YORK.","45.0","1"
"30","graduation","https://www.youtube.com/watch?v=nPY0mBq0cJE","Graduation 2009","EMBA Graduation Ceremony at THE PLAZA, 5AVE & 58 W, NEW YORK.","45.0","0"
"31","graduation","https://www.youtube.com/watch?v=Dv08K7KpiCQ","Tallman Navajo Speech at Bigmountain Graduation Reception","Tallman congratulates his nephew Bigmountain Chief at his highshool graduation reception (in Navajo language).","77.0","1"
"0","basketball","https://www.youtube.com/watch?v=9OBgmCuK_V0","Youth Basketball Games","","245.0","3"
"1","soccer","https://www.youtube.com/watch?v=mjnL-lSDbp0","Ryan Park Soccer Day 2 - Sep 26, 2009","Ryan Park Playing Soccer in Livingston, NJ Kinder Soccer Program","98.0","1"
"2","birthday","https://www.youtube.com/watch?v=Q95GDNGFiiw","MVI_3565_ Birthday song with dad_ate paper.MOV","","205.0","1"
"3","birthday","https://www.youtube.com/watch?v=Q95GDNGFiiw","MVI_3565_ Birthday song with dad_ate paper.MOV","","205.0","3"
"4","birthday","https://www.youtube.com/watch?v=Q95GDNGFiiw","MVI_3565_ Birthday song with dad_ate paper.MOV","","205.0","5"
"5","birthday","https://www.youtube.com/watch?v=1KhpGXabXws","birthday 1","","126.0","0"
"6","birthday","https://www.youtube.com/watch?v=1KhpGXabXws","birthday 1","","126.0","2"
"7","birthday","https://www.youtube.com/watch?v=1KhpGXabXws","birthday 1","","126.0","4"
"8","birthday","https://www.youtube.com/watch?v=3rLW2Pph6fs","Happy birthday!!","Happy Birthday Ryoji & Mia !!!","110.0","0"
"9","birthday","https://www.youtube.com/watch?v=3rLW2Pph6fs","Happy birthday!!","Happy Birthday Ryoji & Mia !!!","110.0","1"
"10","birthday","https://www.youtube.com/watch?v=3rLW2Pph6fs","Happy birthday!!","Happy Birthday Ryoji & Mia !!!","110.0","3"
"11","birthday","https://www.youtube.com/watch?v=13i6CmBiX_g","Dad&#39;s birthday 2-16-10","","32.0","0"
"12","parade","https://www.youtube.com/watch?v=BCLX53kJ8hM","MVI 0917","BMT Airmen&#39;s Run - A few of the squandrons from the 2.6 mile run - Graduation weekend 7/10/09","36.0","0"
"13","parade","https://www.youtube.com/watch?v=7k1DcrVGPs0","MVI 0323","The Druffel &quot;Tribute to Mike&quot; at the Johnson Parade complete with choerographed dance!","66.0","1"
"14","parade","https://www.youtube.com/watch?v=7k1DcrVGPs0","MVI 0323","The Druffel &quot;Tribute to Mike&quot; at the Johnson Parade complete with choerographed dance!","66.0","0"
"15","parade","https://www.youtube.com/watch?v=EoaFDkmB0Jk","Sean Payton Trophy Parade","Video of Sean Payton holding trophy at parade","45.0","1"
"16","parade","https://www.youtube.com/watch?v=EoaFDkmB0Jk","Sean Payton Trophy Parade","Video of Sean Payton holding trophy at parade","45.0","0"
"17","parade","https://www.youtube.com/watch?v=KKVcyeYAB-s","NYC Pride","Pride Parade NYC","18.0","0"
"18","parade","https://www.youtube.com/watch?v=nzJbdoi_tBk","Japan Electrical parade 5 of 22 MVI 5566","","84.0","1"
"19","parade","https://www.youtube.com/watch?v=nzJbdoi_tBk","Japan Electrical parade 5 of 22 MVI 5566","","84.0","0"
"20","parade","https://www.youtube.com/watch?v=nzJbdoi_tBk","Japan Electrical parade 5 of 22 MVI 5566","","84.0","2"
"21","parade","https://www.youtube.com/watch?v=LxBXypreBHw","day parade","","61.0","1"
"22","parade","https://www.youtube.com/watch?v=LxBXypreBHw","day parade","","61.0","0"
"23","parade","https://www.youtube.com/watch?v=elszaiZ5y94","UP lantern parade","ok it was dark my bad continuation","90.0","1"
"24","graduation","https://www.youtube.com/watch?v=Dv08K7KpiCQ","Tallman Navajo Speech at Bigmountain Graduation Reception","Tallman congratulates his nephew Bigmountain Chief at his highshool graduation reception (in Navajo language).","77.0","0"
"25","graduation","https://www.youtube.com/watch?v=Dv08K7KpiCQ","Tallman Navajo Speech at Bigmountain Graduation Reception","Tallman congratulates his nephew Bigmountain Chief at his highshool graduation reception (in Navajo language).","77.0","2"
"26","graduation","https://www.youtube.com/watch?v=IAyVlId0wsU","Hooding Ceremony","Sarah Penterman graduates Belmont. This is the hooding ceremony on the morning of graduation.","30.0","0"
"27","graduation","https://www.youtube.com/watch?v=ND0N_pEMNiE","Julia&#39;s Graduation 2009","Julia&#39;s graduation from junior preschool. &quot;Going on a Bear Hunt&quot; is the song...","146.0","0"
"28","graduation","https://www.youtube.com/watch?v=ND0N_pEMNiE","Julia&#39;s Graduation 2009","Julia&#39;s graduation from junior preschool. &quot;Going on a Bear Hunt&quot; is the song...","146.0","2"
"29","graduation","https://www.youtube.com/watch?v=ND0N_pEMNiE","Julia&#39;s Graduation 2009","Julia&#39;s graduation from junior preschool. &quot;Going on a Bear Hunt&quot; is the song...","146.0","4"
"30","graduation","https://www.youtube.com/watch?v=aNoTpx6l_0Q","maomao&#39;s graduation","maomao&#39;s graduation, FH Luebeck","21.0","0"
"31","graduation","https://www.youtube.com/watch?v=AyyXYXokSd8","MVI 2166","kristyn&#39;s graduation","36.0","0"
"0","basketball","https://www.youtube.com/watch?v=9OBgmCuK_V0","Youth Basketball Games","","245.0","6"
"1","soccer","https://www.youtube.com/watch?v=mjnL-lSDbp0","Ryan Park Soccer Day 2 - Sep 26, 2009","Ryan Park Playing Soccer in Livingston, NJ Kinder Soccer Program","98.0","3"
"2","birthday","https://www.youtube.com/watch?v=NeCdO9b4wEk","Jessica&#39;s Birthday 2","","210.0","1"
"3","birthday","https://www.youtube.com/watch?v=NeCdO9b4wEk","Jessica&#39;s Birthday 2","","210.0","3"
"4","birthday","https://www.youtube.com/watch?v=NeCdO9b4wEk","Jessica&#39;s Birthday 2","","210.0","5"
"5","birthday","https://www.youtube.com/watch?v=0cVmbMppjVg","Happy birthday Uncle Mike","","15.0","0"
"6","birthday","https://www.youtube.com/watch?v=L6DtmCyij78","Big sister sings 1st birthday song to baby brother","Big sister sings 1st Birthday song to baby brother","64.0","1"
"7","birthday","https://www.youtube.com/watch?v=L6DtmCyij78","Big sister sings 1st birthday song to baby brother","Big sister sings 1st Birthday song to baby brother","64.0","0"
"8","birthday","https://www.youtube.com/watch?v=UH-WuV4Z2qo","MVI 7112","Ssrah&#39;s 1st. Birthday Part y on 8 30 2009 at West Portal Playground in San Francisco Ca.","181.0","1"
"9","birthday","https://www.youtube.com/watch?v=UH-WuV4Z2qo","MVI 7112","Ssrah&#39;s 1st. Birthday Part y on 8 30 2009 at West Portal Playground in San Francisco Ca.","181.0","3"
"10","birthday","https://www.youtube.com/watch?v=UH-WuV4Z2qo","MVI 7112","Ssrah&#39;s 1st. Birthday Part y on 8 30 2009 at West Portal Playground in San Francisco Ca.","181.0","5"
"11","birthday","https://www.youtube.com/watch?v=K8iu4DUqdzY","February 20, 2010","Surprise 70th birthday party for Grale Chong!","173.0","0"
"12","parade","https://www.youtube.com/watch?v=elszaiZ5y94","UP lantern parade","ok it was dark my bad continuation","90.0","0"
"13","parade","https://www.youtube.com/watch?v=elszaiZ5y94","UP lantern parade","ok it was dark my bad continuation","90.0","2"
"14","parade","https://www.youtube.com/watch?v=Lp1MUGBExTU","christmas parade in sibu 2009 2","","110.0","0"
"15","parade","https://www.youtube.com/watch?v=Lp1MUGBExTU","christmas parade in sibu 2009 2","","110.0","1"
"16","parade","https://www.youtube.com/watch?v=Lp1MUGBExTU","christmas parade in sibu 2009 2","","110.0","3"
"17","parade","https://www.youtube.com/watch?v=NefBF034-lQ","Disneyland 2009","Parade Nap","91.0","0"
"18","parade","https://www.youtube.com/watch?v=NefBF034-lQ","Disneyland 2009","Parade Nap","91.0","1"
"19","parade","https://www.youtube.com/watch?v=NefBF034-lQ","Disneyland 2009","Parade Nap","91.0","3"
"20","parade","https://www.youtube.com/watch?v=iALJoN9qVFY","bacchus parade 2010 (w/drew breese)","","45.0","1"
"21","parade","https://www.youtube.com/watch?v=iALJoN9qVFY","bacchus parade 2010 (w/drew breese)","","45.0","0"
"22","parade","https://www.youtube.com/watch?v=fe59ufMn4Zc","Manlius Parade 3","more parade footage","15.0","0"
"23","parade","https://www.youtube.com/watch?v=aYzAqmdzQDU","Toy Soldiers in The Walt Disney World Christmas Parade!!!","","62.0","1"
"24","graduation","https://www.youtube.com/watch?v=bJqoxox3SS8","Aaron at Baseball camp 6-09","Aaron at Baseball camp 6-09","149.0","0"
"25","graduation","https://www.youtube.com/watch?v=bJqoxox3SS8","Aaron at Baseball camp 6-09","Aaron at Baseball camp 6-09","149.0","2"
"26","graduation","https://www.youtube.com/watch?v=bJqoxox3SS8","Aaron at Baseball camp 6-09","Aaron at Baseball camp 6-09","149.0","4"
"27","graduation","https://www.youtube.com/watch?v=lNE8plT1VIU","NPB Graduation","Marisa Goo","109.0","0"
"28","graduation","https://www.youtube.com/watch?v=lNE8plT1VIU","NPB Graduation","Marisa Goo","109.0","1"
"29","graduation","https://www.youtube.com/watch?v=lNE8plT1VIU","NPB Graduation","Marisa Goo","109.0","3"
"30","graduation","https://www.youtube.com/watch?v=N4Cpm-FjTOg","Tessa&#39;s Graduation","A short video of my sister Tessa&#39;s graduation.","233.0","0"
"31","graduation","https://www.youtube.com/watch?v=N4Cpm-FjTOg","Tessa&#39;s Graduation","A short video of my sister Tessa&#39;s graduation.","233.0","3"
"0","basketball","https://www.youtube.com/watch?v=kNVPiF1gRZI","Trevor&#39;s Basketball Game - Part 2","","76.0","1"
"1","soccer","https://www.youtube.com/watch?v=7InoXERPcus","Hawaiian Girls Playing Ball At Diamond Head 2","Amazing little pros: girls playing soccer near Diamond Head, Honolulu, Hawaii","42.0","0"
"2","birthday","https://www.youtube.com/watch?v=K8iu4DUqdzY","February 20, 2010","Surprise 70th birthday party for Grale Chong!","173.0","2"
"3","birthday","https://www.youtube.com/watch?v=K8iu4DUqdzY","February 20, 2010","Surprise 70th birthday party for Grale Chong!","173.0","4"
"4","birthday","https://www.youtube.com/watch?v=M8njXv-9gP4","Opening birthday presents 1","","51.0","1"
