id,label
259,aspiring chefs
260,assembly
261,assembly in gym
262,astroturf
263,athletes
264,athletic
265,athletic center
266,athletics ground
267,attempts again
268,attraction
269,audience
270,audience cheering
271,audience members cheer
272,audience seated in the bleachers
273,audience watching procession
274,audio video light
275,audiotorium
276,auditorium
277,auditoroum
278,auditorum
279,audlts
280,automotive
281,autumn
282,avery
283,awads
284,award
285,award ceremoney
286,award ceremony
287,award ceremony national anthem
288,award show
289,award speach
290,awards
291,awards dinner
292,awards party
293,awards presentation
294,awards speech
295,awardsceremony
296,babies birthday party
297,babies birtthday party
298,babies family birthday celebration
299,baby
300,baby and birthday cake
301,baby and candle
302,baby balloon birthday mom laugh 1st
303,baby being fed
304,baby being filmed
305,baby being video taped and mom singing happy birthday
306,baby birthday
307,baby birthday candle
308,baby birthday singing cupcake candle highchair
309,baby blowing out candle
310,baby blowing out candles on birthday cake
311,baby blows out birthday candles on cake
312,baby blows out the candles
313,baby boy
314,baby boy birthday
315,baby cake highchair
316,baby carpet light fireplace window
317,baby celebrating birthday
318,baby chair grandma table window
319,baby chair tray window balloons wall cap shirt
320,baby chair wall envelope window
321,baby chair window curtain wall paper toy
322,baby chair window door wall balloon table paper knob
323,baby clapping hands
324,baby climbing on furniture
325,baby climbs back up again
326,baby crib
327,baby crying
328,baby customes parade
329,baby dancing
330,baby doll
331,baby eat plate cake chair
332,baby eating
333,baby eating cake
334,baby eating cupcakes at birthday party
335,baby eating spaghetti
336,baby eats cake with her hands
337,baby exploring new toy
338,baby food cake chair wall flash floor
339,baby gets off the bed
340,baby gifts
341,baby girl dancing
342,baby girl dressed up
343,baby girl looking
344,baby holds its own bottle
345,baby in carrage with flag
346,baby in chair
347,baby in high chair
348,baby in walker
349,baby jumping
350,baby looking at camera
351,baby makes a mess eating spaghetti
352,baby makes mess
353,baby mom plate chair tray
354,baby on couch
355,baby open gifts
356,baby opening birthday card
357,baby opening card
358,baby opening card and smiling
359,baby opening envelope
360,baby opening presents
361,baby playing
362,baby playing with ballons
363,baby playing with balloons
364,baby playing with toys
365,baby playinh
366,baby plays with a flower balloon
367,baby plays with a giant balloon
368,baby plays with an oversized balloon
369,baby plays with toy
370,baby reach for cake
371,baby seat tray table food kids man grass
372,baby seat wall porch house shirt
373,baby singing
374,baby singing birthday song
375,baby singings happy birthday
376,baby sining happy birthday
377,baby sitting at table eating cake with a fork
378,baby sitting in high chair
379,baby smiling
380,baby table floor stool box toy tree
381,baby talks
382,baby tries to say happy birthday
383,baby tries to sit upright on bed
384,baby trying to blow candle out
385,baby waiting for cake
386,baby walking
387,baby walking along street with adults
388,baby wall chair curtain
389,baby watching parade
390,baby watching parade floats
391,baby's first birthday
392,baby's first birthday celebration
393,backboard
394,backdrop
395,backpacks
396,bacl caps gowns
397,bacl caps/gowns
398,bad
399,bad hair day
400,bag
401,bag pipes
402,bagpipe band marching in a parade
403,bagpipes
404,bagpipes playing
405,bagppipes
406,bags
407,bahamas
408,balconey view
409,balcony
410,bald
411,ball
412,ball bounces on ground
413,ball float
414,ball game
415,ball playing
416,ballet
417,ballet performance
418,ballons
419,balloon floats in the air
420,balloon pop
421,balloon popped
422,balloon star flag parade man woman
423,balloon string tree sky bush parade
424,balloon with happy birthday written on it
425,balloong
426,balloons
427,baloon
428,bamboo chaise
429,banana
430,band
431,band boot parade sky tree headdress
432,band kids students street building horn
433,band marchers
434,band marches on  a race track
435,band marching
436,band members wearing black
437,band members wearing black white and gold uniforms
438,band music performance
439,band on the back of a truck in a parade
440,band parade
441,band performing at night
442,band playing
443,band playing at graduation
444,band playing instruments
445,band playing marching tune
446,band street costume flag kight pole building
447,band tree sky hat street building
448,band uniform bagpipe building pole sky
449,band wearing green
450,banderas
451,banner
452,banner cap gown stage rail
453,banner kids cap gown hands camera hair nose
454,banquet
455,banquet hall
456,bar
457,barge
458,barney
459,barney and friends
460,barrels
461,baseball
462,baseball balloon
463,baseball game
464,baseball honors
465,baseball players
466,baseball team
467,baseball team mascot
468,baseketball
469,basic training graduation
470,basket
471,basket ball
472,basket ball game
473,basketbal
474,basketball
475,basketball ames players running on tcourt
476,basketball court
477,basketball court at home
478,basketball drills
479,basketball game
480,basketball gameplay
481,basketball players
482,basketball practice
483,basketball team the lakers is going through the streets celebrating championship
484,basketball team the lakers is going through the streets celebrating championship!
485,basquetball
486,batman
487,batman float
488,batons
489,bdaay
490,bdat
491,bday
492,bdayt
493,beach
494,beach ball
495,beach ball family sand island play soccer
496,beach football
497,beach front parade
498,beach soccer
499,beads
500,beanie
501,bear
502,beard
503,bears danfcing
504,beast
505,beats me
506,beautiful parade float
507,beauty and the beast
508,bed
509,bedroom
510,bedroom dress chair table girl wall bag paper
511,beep
512,beer
513,belle
514,bench
515,best wishes
516,bettalion
517,beverages
518,bewilderment
519,bib
520,bicycle
521,bicycle parade
522,bicyclist
523,big
524,big candle
525,big crowd watching
526,big rig
527,big screen
528,big screen tv
529,big truck
530,biirhtday
531,bike rally
532,biker rally
533,bikers
534,bikers christmas street parade
535,bikers ride into a yard
536,bikers street parade
537,bikes
538,bilboard
539,bird costumes
540,birhday
541,birhday song
542,birhtday
543,birhthday
544,birrthday
545,birtday
546,birthay
547,birthay party
548,birthday
549,birthday announcement
550,birthday balloons
551,birthday blowing out candles on a cake
552,birthday boy
553,birthday boy sister brother sing siblings happy birthday
554,birthday bumps
555,birthday but guessing shes not 18
556,birthday cake
557,birthday cake and party food
558,birthday cake candles
559,birthday cake candles lit
560,birthday cake in a box
561,birthday cake lit
562,birthday cake with lit candle
563,birthday cake with lit candles
564,birthday candle
565,birthday candle being blown out by a kid
566,birthday candles
567,birthday canldes
568,birthday card
569,birthday cebration
570,birthday celebation
571,birthday celebrartion
572,birthday celebration
573,birthday celebration for a baby
574,birthday celebration for man
575,birthday celebration for patient in hospital
576,birthday celebration in hospital
577,birthday celebration singing
578,birthday cleebration
579,birthday crowd
580,birthday cupcake
581,birthday cupcake boy family blow candle birthday boy
582,birthday cupcake club celebration
583,birthday dinner
584,birthday dinner at restaurant
585,birthday drinks
586,birthday event
587,birthday family happy table cake candles
588,birthday for  a young boy
589,birthday gathering
590,birthday gift picture
591,birthday gifts
592,birthday hapiness
593,birthday hats
594,birthday in bed
595,birthday in hospital
596,birthday karaoke
597,birthday lunch
598,birthday meal
599,birthday message
600,birthday music
601,birthday night out
602,birthday ocassion of a young boy
603,birthday occadion
604,birthday occasin
605,birthday occasion
606,birthday occasion - kid trying to blow out candle
607,birthday occasion - maybe a surprise party
608,birthday occasion for a baby
609,birthday occasion for a dog
610,birthday occasion for a small boy
611,birthday occasion in a home
612,birthday occasion in a restaurant
613,birthday occasion maybe
614,birthday occasion of an old man
615,birthday occasion of young child
616,birthday occasion where young girl is opening presents
617,birthday occasion with adults
618,birthday occasion with young kids singing
619,birthday occasion.
620,birthday of a young girl
621,birthday of a youngster
622,birthday onesie
623,birthday p arty
624,birthday p[arty
625,birthday parade
626,birthday party
627,birthday party at fitness gym
628,birthday party at retirement home
629,birthday party at school
630,birthday party for a little boy
631,birthday party people rain kids girl pictures pool park outside
632,birthday party with cake
633,birthday party woot
634,birthday party!
635,birthday party! woot!
636,birthday pary
637,birthday perty
638,birthday photos & party
639,birthday piece
640,birthday pinata
641,birthday preperations
642,birthday presents
643,birthday scarf
644,birthday singing
645,birthday singsong
646,birthday song
647,birthday spanish
648,birthday spankings
649,birthday surprise
650,birthday toast
651,birthday video message
652,birthday w family
653,birthday wish
654,birthday wishes
655,birthday yay
656,birthday yay!
657,birthday`1
658,birthdy
659,birthdyay cake
660,birthfday
661,birthyday cake
662,birtyday
663,birtyhday
664,bite
665,bithday
666,bithday celebration
667,bithday party
668,bitrhday party
669,black
670,black and gold uniforms
671,black and red caps gowns
672,black and red caps/gowns
673,black and white
674,black and white floor
675,black birthday cake
676,black cap/gown
677,black caps/gowns
678,black gowns
679,black robe
680,black screen
681,black shorts and white t shirts
682,black shorts and white t-shirts
683,blackboard
684,blank
685,blanket
686,bleachers
687,blessings
688,blinking lights
689,block party with dancing
690,blocks
691,blow out candles
692,blowing
693,blowing candles
694,blowing out a candle
695,blowing out cake
696,blowing out candle on birthday cake
697,blowing out candles
698,blowing out candles on cake
699,blowing out of the candles
700,blowing paper balloon
701,blowing up baloons
702,blowwing out birthday candles
703,blue
704,blue and red
705,blue bib
706,blue caps/gowns
707,blue curtains
708,blue gowns
709,blue graduation gowns
710,blue hats
711,blue shirt
712,blue uniform
713,blue video
714,bluetooth headset
715,blurry
716,blurry video
717,board men woman meeting table
718,boat
719,boat parade
720,boat parades down the street
721,boat people lights water reflections
722,boats decorated with lights
723,bongos
724,book
725,books
726,booster seat
727,booth
728,bored man
729,borthday
730,borthday party
731,bottle
732,bouncing
733,bow
734,bowing
735,bowling
736,bowling alley
737,bowling ally
738,bowling birthday party
739,bows
740,box
741,box open
742,boy
743,boy and birthday cake
744,boy baby chair table
745,boy behaves like an ass
746,boy blows out candles
747,boy cake balloon table candle
748,boy cake candle flame dark sweater
749,boy cake flame candle rail wall
750,boy celebrant
751,boy dad cake table chair drawer wall flash
752,boy dad cup wall shelf books
753,boy dribbling basketball
754,boy eating
755,boy floor box toys books mom plastic wall carpet
756,boy floor wall toys
757,boy girl cap dress floor
758,boy looks at a parade
759,boy looks excited
760,boy opening present
761,boy opens birthday present
762,boy playing
763,boy playing with toys on the floor
764,boy podium wall microphone sign
765,boy present floor wall shirt
766,boy receiving gifts
767,boy removed object from a box
768,boy rubbing eyes
769,boy singing
770,boy singing happy birthday
771,boy sitting
772,boy sitting in stroller clapping hands
773,boy sleeping
774,boy sofa shirt wall
775,boy spoon plate cake dishes fork
776,boy standing on table
777,boy sticks out tongue
778,boy table family wall chair
779,boy table man cake paper chair cabinet
780,boy talking
781,boy teacher cap gown flower chair
782,boy toys floor rug chair
783,boy tries to blow out the candle
784,boy waking up
785,boy wearing glasses sitting on the floor
786,boy5
787,boys and girls
788,boys band flag drums wall floor hats
789,boys birthday
790,boys kicking during performance
791,boys practicing soccer
792,boys singing birthday song
793,brass
794,brass band
795,breakfast
796,brian
797,brick
798,brick kids chair door window teacher pavement
799,brick teacher chair students cap vuilding
800,brick wall
801,bridal parade
802,brides
803,bridge
804,bridgeport
805,bridgeport university
806,briefing
807,bright
808,bright colours
809,bright lights
810,bright neon lights
811,bright spotlight
812,brightening
813,bringing gifts
814,britain
815,brithday
816,british flag
817,broken
818,broken glasses
819,brother
820,brother sister sofa table paper floor
821,brushing hair
822,bubble machine
823,bubbles
824,buckets
825,buffet
826,buggy
827,building crowd building sign tree
828,building group students backpack
829,building parade street bagpipe band people building
830,building people street float parade
831,building sky crowd sign rail  man car
832,buildings
833,bulletin board
834,bullhorn
835,bulling
836,bulls
837,bumblebee
838,bunch of people standing around
839,bunker
840,bunny
841,burning
842,burst balloon
843,bus
844,bus ride
845,bus trip
846,bush
847,bush cap gown tree rail curtain
848,business
849,business establishment
850,busy day
851,but the red child does count?
852,butterfly
853,buzz lightyear
854,bykes
855,cadets
856,cadets getting called on stage
857,cae
858,cafe
859,cafeteria
860,cage
861,caje candle flame dark people
862,cak
863,cake
864,cake birthday candles kids family
865,cake birthday hapiness
866,cake candle
867,cake candle flame group boy girl
868,cake celebration
869,cake cutting
870,cake decoration
871,cake hat
872,cake kids dad candle table window
873,cake on the table
874,cake party kids table bench girl boy adults
875,cake shelf jar plate man boy
876,cake topper
877,cake with candle
878,cake with candles
879,cake with lit candles
880,cake with sparkler
881,cake woman candle floor table food kids chair step
882,california
883,calling names
884,calloon
885,calss
886,camcorder
887,camera flashes
888,camera man passes by
889,camera pans to different people celebrating a birthday
890,camera pans to. different people celebrating a birthday
891,camera shutter
892,camera's
893,cameraman
894,cameras
895,camp advertisement sign
896,camper
897,campground
898,camping
899,can't get it out
900,canada
901,canadian flag
902,canadian national anthem
903,canal
904,cancha
905,canciones
906,candal
907,candals
908,candelabra
909,candels
910,candidates
911,candle burning
912,candle extinguishing
913,candle flame people fruit table girl boy table
914,candle lighting
915,candle lit
916,candle lit cake
917,candle princess flame
918,candles
919,candles balloons
920,candles on birthday cake
921,candles on cake
922,candles on cake are lit
923,candy
924,candy cane outfit
925,canto
926,cap and gown
927,cap and gown ceremony
928,cap and gowns
929,cap gown
930,cap gown banner flag pole seats rail stage crowd
931,cap gown blue red wall tassel
932,cap gown chair floor students
933,cap gown curtain stepboy girl
934,cap gown group wall
935,cap gown podium flowers floor chair crowd
936,cap gown students
937,cap gown students crowd
938,cap gown students crowd podium floor wall
939,cap gown students curtain stage wakk
940,cap gown wall banner students
941,cap gown wall clock kids boy girl ceiling
942,cap gown woman flags curtain chair
943,cap tassel kids gown glasses
944,cap/gown
945,cape
946,capp and gowns
947,caps
948,caps and gowns
949,captain
950,captain hook
951,captain hook and mr smee
952,car
953,car advertising summer camp
954,car driving
955,car moving
956,car parade
957,car passes
958,car race
959,car race track
960,car seat
961,car show
962,car sign sky tree umbrella wheel cycle
963,car tree flag kids police chair parade
964,car view
965,car with teddy time day care ad
966,caravan
967,card
968,caring
969,caring feeding eating
970,carnation
971,carnaval
972,carnival
973,carnival mardi grass collar women party street bar
974,carnival parade
975,carnival parade crowded and this something dark
976,carnival show
977,carousel
978,carpet
979,carriage
980,carry
981,cars
982,cars driving
983,cars driving round a track
984,cars race round a track
985,cart
986,cartoon
987,cartoon animation display
988,cartoon character dress
989,cartoon characters
990,cash register
991,cast member looks angry
992,castle
993,castle float
994,cat
995,cat walking
996,catepillar
997,caterpillar
998,cavalcade
999,cd
1000,ceiing fan
1001,ceiling
1002,ceiling fan
1003,celebracion
1004,celebratin
1005,celebrating
1006,celebrating a kids 3rd irthday
1007,celebrating baby's birthday
1008,celebrating birthday
1009,celebrating birthday posing for family photo
1010,celebrating with family
1011,celebration
1012,celebration birthday family
1013,celebration gathering
1014,celebration of sorts
1015,celeration
1016,cell phone
1017,cement
1018,center
1019,ceramony
1020,ceremoney
1021,ceremony
1022,cermony
1023,ceromony
1024,ceromy
1025,certificate
1026,certificate presentation
1027,chainlink
1028,chair cap gown kids students stage curtain
1029,chairs
1030,chairs floor people
1031,chalkboard
1032,chanting
1033,character parade
1034,characters
1035,characters dance in a parade
1036,characters marching
1037,charisma
1038,charity
1039,chat
1040,chearing
1041,check
1042,cheer leaders
1043,cheerimg
1044,cheering
1045,cheerleaders
1046,cheerleaders holding pompoms
1047,cheerleders
1048,cheese
1049,chef hata
1050,chefs
1051,chefs academy graduation
1052,chefs uniforms
1053,chidren
1054,chiefs
1055,child
1056,child and adult on bike
1057,child birthday
1058,child blowing
1059,child blowing our candle
1060,child collecting certificate
1061,child crying
1062,child cutting birthday cake
1063,child eating cake
1064,child eating cake with fingers
1065,child eating sphagetti
1066,child falls down when running
1067,child hiding from mom
1068,child holding flag
1069,child holding on to mylar balloon
1070,child in high chair
1071,child is reading
1072,child looking thru window
1073,child looks like he's at the zoo or a park
1074,child making funny faces
1075,child man cake table flame
1076,child opening birthday presents
1077,child opening presents
1078,child playing
1079,child playing ball
1080,child playing with blow up toy
1081,child playing with blow-up toy
1082,child playing with toy and looking into camera
1083,child popping bubbles
1084,child receiving birthday card
1085,child sampling cake
1086,child sat down
1087,child saying a message
1088,child singing
1089,child singing happy birthday
1090,child speech
1091,child stood up on table
1092,child talking
1093,child walking
1094,child watching a parade
1095,child waving
1096,child's birthday
1097,child's birthday celebration
1098,child's birthday party
1099,child's first birthday celebration
1100,child's performance
1101,child's room
1102,childen
1103,childreb
1104,childrem
1105,children
1106,children and adults singing happy birthday
1107,children around table singing happy birtday
1108,children at a school or playground
1109,children basketball game
1110,children being coached at basketball
1111,children being prepared for graduation ceremony
1112,children clapping
1113,children collecting certificates
1114,children costume parade
1115,children do actions as they sing the song
1116,children dressed counting songs and one of the girls is crying
1117,children dressed in character costumes
1118,children dressed in costumes
1119,children dressed in halloween costumes
1120,children eating
1121,children eating cake
1122,children exercising
1123,children football game
1124,children gathered
1125,children go into a room
1126,children going to a parade
1127,children graduate
1128,children graduation
1129,children graduation ceromony
1130,children graduation event
1131,children graduation gowns singing parents cameras flashing
1132,children graudation
1133,children holding hands
1134,children holding object
1135,children in a line behind each other
1136,children in character costumes parade
1137,children in gowns
1138,children interacting
1139,children kicking ball
1140,children leaving the bleachers
1141,children line-up parade
1142,children lunch
1143,children on stage
1144,children on the floor
1145,children opening christmas gifts
1146,children opening presents
1147,children palying basketball
1148,children performing in the streets
1149,children performing on stage
1150,children playing
1151,children playing basketball
1152,children playing football on the beach
1153,children playing games
1154,children playing games at school
1155,children playing in class
1156,children playing in yard
1157,children playing soccer
1158,children playing sport
1159,children playing with their hands
1160,children posing for graduation pictures
1161,children pulling string on mickey mouse pinata
1162,children receiving gifts at school
1163,children recieving awards at school
1164,children reciting the abc's
1165,children riding streetcar
1166,children running
1167,children sat down
1168,children sat down at table
1169,children sat down on seats
1170,children sat inside toy car
1171,children sat on floor
1172,children saying happy birthday
1173,children shouting
1174,children singin
1175,children singing
1176,children singing a song
1177,children singing happy  birthday
1178,children singing happy birthday
1179,children singing in class
1180,children sining
1181,children sining at school
1182,children sining at school graduation
1183,children sitting in chairs
1184,children soccer
1185,children speaking to camera
1186,children standing
1187,children stood on path
1188,children stood up
1189,children talking
1190,children themed float
1191,children training football
1192,children training football running and hitting balls
1193,children walking
1194,children walking around dispalying halloween  costumes
1195,children walking around dispalying halloween costumes
1196,children walking in costumes
1197,children walking in line
1198,children walking single file in gym
1199,children waving
1200,children wearing blue hats
1201,children wearing halloween costumes
1202,children wearing hats
1203,children wearing white hats
1204,children's graduation
1205,children's graduation event
1206,children's play
1207,children2
1208,childrens birthday
1209,childrens birthday party
1210,childrens bithday party
1211,childrens fancy dress party
1212,childrens graduation
1213,childrens graduation ceremony
1214,childrens halloween party
1215,childrens parade
1216,childrens party
1217,childrens rides
1218,childrens scholl graduation
1219,childrens school graduation
1220,childrens school graduiation
1221,childrens sports day
1222,childrens' graduation ceremony
1223,childs birthday party
1224,childs birthday song
1225,childs graduation
1226,childs mock graduation at school
1227,chile
1228,chilean flag
1229,chilean parade
1230,chilfdren
1231,china
1232,chinese
1233,chinese dragon does a display
1234,chinese food
1235,chinese lanterns
1236,chinese new year
1237,chinese parade float
1238,chiodren
1239,chip & dale
1240,chip dale
1241,chirstmas
1242,chld
1243,chldren
1244,chlid
1245,chocolate bar
1246,chocolate cake
1247,chocolate frosting cake with sprinkles
1248,choir
1249,choir singing
1250,choo choo
1251,chorale
1252,choreography
1253,chorus
1254,christening service
1255,christmas
1256,christmas carol
1257,christmas dinner seniors family birthday
1258,christmas float parade
1259,christmas hats
1260,christmas light show w boats
1261,christmas lights
1262,christmas music
1263,christmas parade
1264,christmas parade princess disney fairy godmother snowwhite mices
1265,christmas piper band
1266,christmas run
1267,christmas show
1268,christmas street parade
1269,christmas time
1270,christmas tree
1271,christmas tree float
1272,chuck e cheese
1273,church
1274,church preacher
1275,cigarette
1276,cinderella
1277,circle
1278,circus
1279,circus parade
1280,city
1281,city building street cars people
1282,city wall
1283,cityscape
1284,cjildren smiling
1285,claire
1286,clappin g
1287,clapping
1288,clapping and bowing
1289,clapping and waiting
1290,clapping birthday party cake
1291,clapping for birthday cake
1292,clapping hands
1293,class
1294,class 2009
1295,classmates
1296,classroom
1297,clerk
1298,climbing
1299,climing
1300,close up
1301,close-up
1302,closeup
1303,cloth
1304,cloud
1305,cloudy
1306,clown
1307,clown dress
1308,clown fish
1309,clowns
1310,club
1311,club celebration
1312,coach
1313,coaching giving orders to team
1314,coacrusthes
1315,coat
1316,cobblestone
1317,cobblestone street
1318,cochin
1319,coconut cake
1320,coffee cups
1321,coffee mugs
1322,cold
1323,cold night
1324,collage
1325,collar
1326,collecting certificates
1327,college
1328,college band
1329,college dignitaries sitting on the stage
1330,college graduates
1331,college graduation
1332,college graduation ceremony
1333,college life
1334,color guard
1335,colorful
1336,colorful choo-choo train
1337,colorful costumes
1338,coloured lights
1339,colourful lights
1340,colours
1341,comedy show
1342,commencement
1343,commencement speaker
1344,commencement speech
1345,community float
1346,comparsa
1347,competing
1348,competition
1349,compliment
1350,computer science
1351,computers
1352,concert
1353,concierto
1354,concord
1355,conducting
1356,conducting a choir
1357,conductor
1358,conference
1359,conference hall
1360,confetti
1361,confetti falls on a baby
1362,confused
1363,congrats
1364,congratuations
1365,congratulating
1366,congratulating graduates with handshake
1367,congratulation on graduation  message
1368,congratulations ceremony
1369,congratulations speech
1370,congregation
1371,constumes
1372,containers
1373,contest
1374,conversation
1375,convocation
1376,convoy
1377,cooked food
1378,cookers
1379,cookie monster
1380,cookies
1381,cooking
1382,coordinate
1383,cop
1384,corner
1385,corridor
1386,cosplay
1387,costume dressing
1388,costume event
1389,costume night lights tree
1390,costume parade
1391,costume parade tree sky building people
1392,costume party
1393,costume sidewalk parents camera grass house
1394,costumed children singing a song and one of the girls is crying
1395,costumed goldfish carriers
1396,costumes
1397,costumes halloween music crowd street parade
1398,costumes parade in gym
1399,costumes uniforms
1400,costumes/uniforms
1401,cot
1402,cotton candy
1403,couch
1404,coughing
1405,counter
1406,couple
1407,couple sharing a scarf
1408,couple sing badly
1409,couple singing
1410,course
1411,court
1412,courtroom
1413,couting
1414,cow
1415,cowbell
1416,cowboys
1417,crawling
1418,crayng
1419,creature
1420,creepy
1421,cremony
1422,crib
1423,crime fighters
1424,cross
1425,cross legged
1426,crosswalk
1427,crouch
1428,crowd
1429,crowd bikes shirt shorts road
1430,crowd boy family balloon ceiling
1431,crowd cheering
1432,crowd clapping
1433,crowd dwarf lights night street psrade
1434,crowd lights roof house dance girl
1435,crowd listening to bagpipes
1436,crowd making noise
1437,crowd men women
1438,crowd of people
1439,crowd of people walking
1440,crowd sky cloud building parade
1441,crowd smiling
1442,crowd tree trunk float parade street band
1443,crowd waiting
1444,crowd walking
1445,crowd watch event on the street
1446,crowd watching
1447,crowd watching game
1448,crowd watching parade
1449,crowd waving
1450,crowd waving and clapping
1451,crowd yelling
1452,crowded event
1453,crowds gathered
1454,crowds line street
1455,crowds of students pile by to cheering
1456,crowds watch a parade going down a street
1457,crowds watching parade
1458,crowed
1459,crown
1460,crown parade
1461,crows
1462,cruise ship parade
1463,cruiseship
1464,crustacean
1465,crutches
1466,crying
1467,crying girl
1468,csli
1469,cuba
1470,culinary school
1471,cultural performance
1472,cultural play
1473,culture
1474,cum laude
1475,cumpleaã±os
1476,cumplea os
1477,cup
1478,cup cakes
1479,cup people kids drink ball
1480,cupboards
1481,cupcae with lit candle
